year,county,waterbody,town,month,number,species,size_inches
2022,Jefferson,South Sandy Creek,Worth,May,590,Brook Trout,9.0
2022,Ulster,Sawkill Creek,Woodstock,April,930,Brown Trout,9.0
2022,Greene,Batavia Kill,Windham,April,1310,Brown Trout,9.0
2022,Greene,Batavia Kill,Windham,April,150,Brown Trout,13.5
2022,Niagara,Lake Ontario,Wilson,April,14360,Brown Trout,8.0
2022,Niagara,Lake Ontario,Wilson,May,7170,Brown Trout,8.0
2022,Niagara,Twelvemile Creek,Wilson,April,4250,Steelhead,5.0
2022,Niagara,Twelvemile Creek East Branch,Wilson,April,6380,Steelhead,5.5
2022,Jefferson,Black Creek,"Wilna, Philadelphia",May,2040,Brown Trout,8.5
2022,Jefferson,Black Creek,"Wilna, Philadelphia",May,230,Brown Trout,13.5
2022,Jefferson,Black Creek West Branch,Wilna,May,480,Brook Trout,9.0
2022,Essex,Beaver Brook,Wilmington,June,300,Brook Trout,8.0
2022,Essex,Red Brook,Wilmington,June,300,Brook Trout,8.0
2022,Essex,Stevens Pond,Wilmington,May,200,Brown Trout,12.0
2022,Essex,Stevens Pond,Wilmington,May,100,Brown Trout,15.0
2022,Essex,West Branch Ausable River,Wilmington,June,2500,Brown Trout,9.5
2022,Essex,West Branch Ausable River,Wilmington,May,4840,Brown Trout,9.5
2022,Essex,West Branch Ausable River,Wilmington,April,3280,Brown Trout,10.0
2022,Essex,West Branch Ausable River,Wilmington,May,2500,Brown Trout,10.0
2022,Essex,West Branch Ausable River,Wilmington,April,500,Brown Trout,12.0
2022,Essex,West Branch Ausable River,Wilmington,May,500,Brown Trout,12.0
2022,Essex,West Branch Ausable River,Wilmington,May,370,Brown Trout,13.0
2022,Essex,West Branch Ausable River,Wilmington,April,90,Brown Trout,13.5
2022,Essex,West Branch Ausable River,Wilmington,June,280,Brown Trout,13.5
2022,Essex,West Branch Ausable River,Wilmington,May,460,Brown Trout,13.5
2022,Essex,West Branch Ausable River,Wilmington,April,280,Brown Trout,14.0
2022,Essex,West Branch Ausable River,Wilmington,April,375,Brown Trout,15.0
2022,Essex,West Branch Ausable River,Wilmington,May,425,Brown Trout,15.0
2022,Essex,West Branch Ausable River,Wilmington,April,300,Rainbow Trout,13.0
2022,Essex,West Branch Ausable River,Wilmington,May,300,Rainbow Trout,13.0
2022,Essex,West Branch Ausable River,Wilmington,April,125,Rainbow Trout,16.0
2022,Essex,White Brook,Wilmington,June,300,Brook Trout,8.0
2022,Essex,Winch Pond,Wilmington,May,210,Brown Trout,8.5
2022,Essex,Cold Brook,Willsboro,June,300,Brook Trout,8.0
2022,Essex,Fish and Game Club Pond,Willsboro,May,200,Rainbow Trout,13.0
2022,Essex,Fish and Game Club Pond,Willsboro,May,125,Rainbow Trout,15.0
2022,Essex,North Branch Boquet River,Willsboro,June,300,Brook Trout,8.0
2022,Essex,North Branch Boquet River,Willsboro,June,400,Brown Trout,12.0
2022,Essex,Willsboro Club Pond 1,Willsboro,April,100,Rainbow Trout,8.5
2022,Essex,Willsboro Club Pond 2,Willsboro,April,90,Brown Trout,9.0
2022,Essex,Willsboro Club Pond 2,Willsboro,April,100,Rainbow Trout,8.5
2022,Oswego,West Branch Fish Creek,Williamstown,May,940,Brown Trout,10.0
2022,Oswego,West Branch Fish Creek,Williamstown,May,100,Brown Trout,13.5
2022,Wayne,Lake Ontario,Williamson,May,20660,Brown Trout,8.0
2022,Washington,Mettawee River,Whitehall,April,220,Brown Trout,13.0
2022,Washington,Mettawee River,Whitehall,May,440,Brown Trout,13.0
2022,Washington,Mettawee River,Whitehall,May,4380,Rainbow Trout,9.5
2022,Washington,Mettawee River,Whitehall,April,1570,Rainbow Trout,10.0
2022,Washington,Mettawee River,Whitehall,May,1690,Rainbow Trout,10.0
2022,Washington,Mettawee River,Whitehall,May,500,Rainbow Trout,12.5
2022,Monroe,Oatka Creek,Wheatland,April,2420,Brown Trout,10.0
2022,Monroe,Oatka Creek,Wheatland,April,270,Brown Trout,14.0
2022,Niagara,Oppenheim Park Pond,Wheatfield,April,100,Brown Trout,13.0
2022,Niagara,Oppenheim Park Pond,Wheatfield,April,200,Rainbow Trout,11.0
2022,Essex,Black River,Westport,May,850,Brook Trout,8.0
2022,Essex,Essex County Fair,Westport,August,12,Brown Trout,15.0
2022,Essex,Essex County Fair,Westport,August,12,Rainbow Trout,16.0
2022,Essex,Fish and Game Club Pond,Westport,May,200,Rainbow Trout,13.0
2022,Essex,Fish and Game Club Pond,Westport,May,125,Rainbow Trout,15.0
2022,Essex,Hoisington Brook,Westport,May,575,Brook Trout,8.0
2022,Essex,Westport Club Pond,Westport,April,100,Rainbow Trout,8.5
2022,Essex,Westport Reservoir,Westport,May,575,Brook Trout,8.0
2022,Essex,Westport Reservoir 1,Westport,April,100,Brook Trout,8.5
2022,Essex,Westport Reservoir 2,Westport,April,100,Brook Trout,8.5
2022,Chautauqua,Chautauqua Creek,Westfield,October,10000,Rainbow Trout,6.5
2022,Chautauqua,Chautauqua Creek,Westfield,March,20000,Steelhead,5.5
2022,Oneida,Lansing Kill,"Western, Ava",April,860,Brown Trout,8.5
2022,Oneida,Lansing Kill,"Western, Ava",April,100,Brown Trout,14.0
2022,Oneida,Mohawk River,Western,April,2840,Brown Trout,8.0
2022,Oneida,Mohawk River,Western,April,300,Brown Trout,8.5
2022,Albany,Basic Creek,Westerlo,April,30,Brown Trout,13.0
2022,Albany,Basic Creek,Westerlo,March,260,Rainbow Trout,9.0
2022,Erie,Buffalo Creek,West Seneca,April,5000,Steelhead,5.5
2022,Erie,Buffalo River,West Seneca,April,7500,Steelhead,6.0
2022,Allegany,Black Creek,West Almond,April,90,Brown Trout,14.0
2022,Allegany,Black Creek,West Almond,April,780,Rainbow Trout,9.0
2022,Allegany,Genesee River,Wellsville,April,90,Brown Trout,13.5
2022,Allegany,Genesee River,Wellsville,March,90,Brown Trout,13.5
2022,Allegany,Genesee River,Wellsville,April,90,Brown Trout,14.0
