year,county,waterbody,town,month,number,species,size_inches
2021,Warren,Accessible Pond 1,Hatchery,April,30,Rainbow Trout,9.5
2021,Warren,Accessible Pond 1,Hatchery,April,30,Rainbow Trout,9.3
2021,Warren,Accessible Pond 1,Hatchery,April,30,Rainbow Trout,9.9
2021,Warren,Accessible Pond 1,Hatchery,April,30,Rainbow Trout,9.9
2021,Warren,Accessible Pond 1,Hatchery,March,10,Rainbow Trout,14.9
2021,Warren,Accessible Pond 1,Hatchery,March,30,Rainbow Trout,9.5
2021,Warren,Accessible Pond 1,Hatchery,May,40,Rainbow Trout,9.3
2021,Clinton,Ace Club Pond,Altona,April,130,Rainbow Trout,8.2
2021,Lewis,Alder Creek,High Market,May,160,Brown Trout,13.3
2021,Lewis,Alder Creek,High Market,May,1400,Brown Trout,8.5
2021,Lewis,Alder Creek,High Market,May,70,Brown Trout,13.3
2021,Essex,Alder Meadow Brook,Schroon,March,300,Brook Trout,8.0
2021,Hamilton,Ale Pond,Morehouse,September,450,Brook Trout,3.7
2021,Cattaraugus,Allegheny Reservoir,Coldspring,May,6280,Sauger,1.2
2021,Cattaraugus,Allegheny River,Allegany,May,8940,Muskellunge,0.6
2021,Cattaraugus,Allegheny River,Allegany/Portville,October,1050,Muskellunge,8.7
2021,Allegany,Allen Lake,Allen,April,500,Brown Trout,13.7
2021,Allegany,Allen Lake,Allen,April,1340,Brook Trout,9.6
2021,Allegany,Allen Lake,Allen,April,2440,Rainbow Trout,9.6
2021,Allegany,Allen Lake,Allen,October,590,Brook Trout,12.8
2021,Allegany,Allen Lake,Allen,October,150,Rainbow Trout,21.5
2021,St Lawrence,Allen Pond,Clare,October,600,Brook Trout,4.0
2021,Clinton,Altona School Pond,Altona,April,90,Rainbow Trout,8.2
2021,Westchester,Amawalk Inlet (Muscoot River),Somers,March,50,Brown Trout,13.2
2021,Westchester,Amawalk Inlet (Muscoot River),Somers,March,460,Brown Trout,8.8
2021,Westchester,Amawalk Reservoir,Somers,March,1860,Brown Trout,8.7
2021,Westchester,Amawalk Reservoir,Somers,November,2000,Brown Trout,7.3
2021,Hamilton,Amos Lake,Arietta,September,300,Brook Trout,3.7
2021,Broome,Arctic Lake,Sanford,April,2180,Rainbow Trout,8.7
2021,Suffolk,Argyle Lake,Babylon,March,440,Rainbow Trout,9.2
2021,Suffolk,Argyle Lake,Babylon,March,150,Brown Trout,13.2
2021,Suffolk,Argyle Lake,Babylon,November,120,Brown Trout,12.2
2021,Suffolk,Argyle Lake,Babylon,October,240,Brown Trout,12.2
2021,Otsego,Arnold Lake,Hartwick,April,370,Brown Trout,8.9
2021,Otsego,Arnold Lake,Hartwick,June,1600,Rainbow Trout,3.3
